,profession,Corrected,Categorie
2512,autre,autre,None
2513,autre,autre,None
2514,autre,autre,None
2516,autre,autre,None
2517,menagere,ménagère,None
2518,ingenieur,ingénieur,enseignement
2521,eleve,élevé,None
2522,directrice assemblee de la mission libannaise,Directrice assemblée de la mission libanaise,None
2524,expert comptable,expert-comptable,None
2525,architecte,architecte,None
2526,ingenieur,ingénieur,enseignement
2527,eleve,élevé,None
2529,femme au foyer,Femme au foyer,None
2533,professionnel de sante,Professionnel de santé,médical
2534,medecin,médical,médical
2535,menagere,ménagère,None
2536,etudiant,étudiant,enseignement
2537,etudiant,étudiant,enseignement
2538,retraite,retraite,transport
2540,menagere,ménagère,None
2542,eleve,élevé,None
2544,autre,autre,None
2545,professeur en medecine,Professeur en médecine,enseignement
2549,directrice librairie 80,Directrice librairie 80,transport
2550,agent de sante,Agent de santé,médical
2551,restauratrice,restauratrice,None
2552,marchand ambuland,Marchand ambulant,None
2553,femme au foyer,Femme au foyer,None
2554,ingenieur,ingénieur,enseignement
2555,menagere,ménagère,None
2556,menagere,ménagère,None
2557,agent de sante,Agent de santé,médical
2558,agent ocah,Agent Occam,None
2559,retraite,retraite,transport
2561,etudiante,étudiante,enseignement
2563,controleur dakar dem dikk,contrôleur Dakar d'Em Dick,None
2565,menagere,ménagère,None
2566,ingenieur,ingénieur,enseignement
2567,enseignant,enseignement,enseignement
2568,chauffeur,chauffeur,transport
2569,apprenti,apprenti,None
2570,chauffeur,chauffeur,transport
2571,chauffeur,chauffeur,transport
2572,informaticien,informaticien,None
2573,chauffeur,chauffeur,transport
2574,menagere,ménagère,None
2575,chauffeur taxi,Chauffeur taxi,transport
2576,etudiant,étudiant,enseignement
2577,tailleur,tailleur,None
2578,sp,SP,None
2579,etudiantja,étudiants,enseignement
2581,tailleur,tailleur,None
2582,etudiante,étudiante,enseignement
2583,menagere,ménagère,None
2585,menagere,ménagère,None
2587,agent de recouvrement,Agent de recouvrement,None
2589,comptable,comptable,None
2590,fonctionnaire mef,Fonctionnaire m'es,transport
2591,etudiant,étudiant,enseignement
2592,etudiante,étudiante,enseignement
2593,ingenieur reseaux,ingénieur réseaux,enseignement
2594,commercante,commerçant,commerçant
2595,operateur economique,opérateur économique,commerçant
2596,homme d'affaire,Homme d'affaire,transport
2597,chef religieux,Chef religieux,enseignement
2598,chef transite,Chef transite,transport
2599,femme de menage,Femme de ménage,None
2600,nounou,nounou,None
2601,ingenieur financier en france,ingénieur financier en France,enseignement
2602,operateur economique,opérateur économique,commerçant
2603,tailleur,tailleur,None
2605,agent de banque,Agent de banque,commerçant
2606,cadre administrative,Cadre administrative,None
2607,etudiante,étudiante,enseignement
2608,agent delta,Agent delta,None
2609,marchand,marchand,commerçant
2611,etudiant,étudiant,enseignement
2612,etudiante,étudiante,enseignement
2614,medecin,médical,médical
2615,agent securite,Agent sécurité,None
2616,coiffeuse,coiffeuse,None
2617,avocate,avocate,None
2618,coiffeuse,coiffeuse,None
2619,chef religieux,Chef religieux,enseignement
2620,informaticien,informaticien,None
2621,agent de banque,Agent de banque,commerçant
2623,femme de menage,Femme de ménage,None
2625,ressources humaines,Ressources humaines,None
2626,autre,autre,None
2627,etudiant,étudiant,enseignement
2628,etudiant,étudiant,enseignement
2631,etudiante,étudiante,enseignement
2632,missionnaire,missionnaire,transport
2633,autre,autre,None
2634,autre,autre,None
2635,fonctionnaire aux nations unies,Fonctionnaire aux nations unies,transport
2636,chef d'entreprise,Chef d'entreprise,transport
2637,footballeur,footballeur,None
2638,autre,autre,None
2640,autre,autre,None
2641,etudiant,étudiant,enseignement
2642,autre,autre,None
2643,travail dans labo,Travail dans le labo,None
2645,autre,autre,None
2646,autre,autre,None
2648,menagere,ménagère,None
2649,eleve,élevé,None
2650,menagere,ménagère,None
2651,etudiant,étudiant,enseignement
2652,autre,autre,None
2653,autre,autre,None
2654,autre,autre,None
2655,autre,autre,None
2656,autre,autre,None
2657,autre,autre,None
2658,autre,autre,None
2659,etudiant,étudiant,enseignement
2663,eleve,élevé,None
2664,administrateur,administrateur,None
2665,autre,autre,None
2667,eleve,élevé,None
2668,profession de sante,Profession de santé,médical
2670,menagere,ménagère,None
2671,gardien,gardien,None
2673,etudiant,étudiant,enseignement
2674,commercante,commerçant,commerçant
2675,retraite,retraite,transport
2676,eleve,élevé,None
2677,receveur dakar dem dick,Receveur Dakar d'Em Dick,None
2679,agent immobilier,Agent immobilier,None
2680,agent a l'ambassadeur,Agent a l'ambassadeur,None
2681,eleve,élevé,None
2682,femme de menage,Femme de ménage,None
2683,femme de menage,Femme de ménage,None
2684,etudiante,étudiante,enseignement
2685,eleve,élevé,None
2686,etudiante,étudiante,enseignement
2688,cadre bceao,Cadre beau,None
2690,conseiller commercial,Conseiller commercial,transport
2691,menagere,ménagère,None
2692,menagere,ménagère,None
2693,eleve,élevé,None
2695,eleve,élevé,None
2698,commercante,commerçant,commerçant
2699,menagere,ménagère,None
2701,menagere,ménagère,None
2702,technologie,technologie,None
2703,agent de sante,Agent de santé,médical
2704,ingenieur informaticien,ingénieur informaticien,enseignement
2705,menagere,ménagère,None
2708,agent de sante,Agent de santé,médical
2709,autre,autre,None
2710,autre,autre,None
2712,technicien de labo,Technicien de labo,None
2713,femme au foyer,Femme au foyer,None
2714,delegue medical,délégué médical,médical
2715,chauffeur,chauffeur,transport
2717,journaliste,journaliste,None
2718,gardien,gardien,None
2719,retraite,retraite,transport
2720,ingenieur geologue,ingénieur géologue,enseignement
2721,retraite,retraite,transport
2723,femme de menage,Femme de ménage,None
2724,agent de sante,Agent de santé,médical
2725,autre,autre,None
2726,soudeur,soudeur,None
2727,autre,autre,None
2728,autre,autre,None
2729,autre,autre,None
2730,autre,autre,None
2731,etudiante,étudiante,enseignement
2732,enseignant,enseignement,enseignement
2734,etudiante infirmiere,étudiante infirmière,enseignement
2735,enseignant arabe,Enseignant arabe,None
2736,chirurgien orthopediste,Chirurgien orthopédiste,None
2737,etudiant,étudiant,enseignement
2740,agent de sante,Agent de santé,médical
2741,autre,autre,None
2742,ingenieur,ingénieur,enseignement
2743,autre,autre,None
2744,autre,autre,None
