,profession,Corrected,Categorie
1621,pecheur,pêcheur,None
1623,enseignant,enseignement,enseignement
1628,ingenieur,ingénieur,enseignement
1629,etudiant,étudiant,enseignement
1630,etudiant,étudiant,enseignement
1631,autre,autre,None
1633,couturiere,couturière,None
1649,chauffeur,chauffeur,transport
1650,chef d'entreprise,Chef d'entreprise,transport
1651,ingenieur biomedical,ingénieur biomédical,enseignement
1652,commercante,commerçant,commerçant
1653,medecin des chirurgie,médecin de la chirurgie,médical
1654,conseillere commerciale,conseillère commerciale,enseignement
1655,juriste,juriste,None
1656,banquier,banquier,commerçant
1657,sall sokhna awa,s'alla sonna AXA,None
1658,etudiante,étudiante,enseignement
1659,domestique,domestique,None
1660,sp,SP,None
1661,ingenieur informatique,ingénieur informatique,enseignement
1662,directeur programme tv,Directeur programme TV,enseignement
1663,comptable,comptable,None
1665,enseignant,enseignement,enseignement
1666,representant medical,représentant médical,médical
1667,eleve,élevé,None
1668,eleve,élevé,None
1669,carreleur,carreleur,transport
1670,eleve,élevé,None
1671,restauratrice,restauratrice,None
1672,consultante cabinet,consultant cabinet,transport
1673,ingenieur aviation,ingénieur aviation,enseignement
1674,agent de joueur,Agent de joueur,None
1675,couturiere,couturière,None
1676,commercant,commerçant,commerçant
1678,directeur institut francaise,Directeur institut française,enseignement
1679,restauratrice,restauratrice,None
1681,pretre,prêtre,None
1682,tailleur,tailleur,None
1683,commercant,commerçant,commerçant
1684,livreur,livreur,None
1685,commercant,commerçant,commerçant
1686,menagere,ménagère,None
1687,restaurateur,restaurateur,None
1688,ambulant,ambulant,None
1689,policier,policier,None
1690,commercant,commerçant,commerçant
1692,controleur de gestion,contrôleur de gestion,None
1693,commercant,commerçant,commerçant
1694,commercant,commerçant,commerçant
1695,enseignant,enseignement,enseignement
1696,cultivateur,cultivateur,commerçant
1697,autre,autre,None
1698,autre,autre,None
1699,autre,autre,None
1700,autre,autre,None
1703,eleve,élevé,None
1704,commerciale,commerçant,commerçant
1705,femme de menage,Femme de ménage,None
1706,agents administratif,Agents administratifs,médical
1707,autre,autre,None
1708,eleve,élevé,None
1709,femme de menage,Femme de ménage,None
1710,vendeuse de petit desjeuner,Vendeuse de petit déjeuner,None
1711,infirmiere,infirmière,médical
1713,technicien ddd,Technicien DVD,None
1714,juriste d'entreprise,Juriste d'entreprise,transport
1715,couturiere,couturière,None
1716,agent transit,Agent transit,transport
1717,menagere,ménagère,None
1718,medecin,médical,médical
1719,tailleur,tailleur,None
1720,retraite,retraite,transport
1721,chef d'entreprise,Chef d'entreprise,transport
1722,eleve,élevé,None
1723,commercant,commerçant,commerçant
1724,avocat,avocat,None
1725,charge analyse des systemes alimentaires,Charge analyse des systèmes alimentaires,enseignement
1726,chauffeur,chauffeur,transport
1727,agent  onas,Agent aunas,None
1728,adjudant,adjudant,None
1729,journaliste sportif,Journaliste sportif,transport
1730,technicien rts,Technicien arts,None
1731,menagere,ménagère,None
1732,monitrice,monitrice,None
1733,menagere,ménagère,None
1734,agent banque,Agent banque,commerçant
1736,paysan,paysan,None
1737,agriculture,agriculture,None
1738,apprenti bus,Apprenti bu,None
1739,autre,autre,None
1740,etudiant,étudiant,enseignement
1741,etudiant,étudiant,enseignement
1742,etudiant,étudiant,enseignement
1744,menagere,ménagère,None
1746,eleve,élevé,None
